ID,DBSN,PID,SID,AnnotationID,ST,ET,Speech
99,269,49,29,37044f7f200045ff8b9fe925ac1edea4,353000,354950,and cut the tomato
100,270,49,30,9d3e4db392204ccd9663b636e85590b1,366700,372600,ok so we are going to turn on the burner for the pot on the left
101,271,49,31,0eb4ee6454cc46a197c46d0ef9e96604,374900,378550,so go to the oven and rotate the burner to turn it on
102,272,49,32,1830cc50f4d742a9be8cdd8628f4137d,390700,394000,ok now we're going to put some oil in the pot
103,273,49,33,dbbef95cae9a4fdd880db5eef29144fd,398150,402500,"so grab the oil which is the yellow bottle right there, lift it up"
104,274,49,34,9a3be1c511aa4ef9a2b0bb36e37d4cde,403000,404750,and pour the oil into the pot
105,275,49,35,d73b0f4f6dc0413c86438841329b70ad,417700,420750,ok so now we are going to put some onions into the pot
106,276,49,36,a3f7a2bf00d14f1c938c5353f885be7d,422050,424800,so grab the chopped onions
107,276,49,37,85b4dcb97edb4b908bd0f026e31a5e0e,425500,427900,"or the entire board, ok, go to the oven"
108,277,49,38,46a9b8758827421ba3a17c8ee0343c49,431350,434950,"and put the cutting board, err put, take some onions"
109,277,49,39,99e1b0dfcce44115a77d3a03b16082dc,436300,437650,grab some chopped onions
110,278,49,40,b98d35f5c5b444b99f32234265772b7d,440850,444800,uh move your hand to grab some onions off of the cutting board
111,279,49,41,402523527f7f427f965d3e3de6e9a637,459900,462700,ok we are going to add some salt to the pot
112,280,49,42,fe7354ce1aa64effbbd77bbaab45e12d,467100,471300,"so uh, grab the salt from the right side of the oven"
113,281,49,43,418f7e8ef96041e2a00ca90262094bde,473100,475600,"uh yes, that one, lift it up and"
114,281,49,44,08043e3aa5ff44a19161fc771c7b8d52,475950,476950,shake it down
115,282,49,45,a7592b8868314541b161bed1fc558be1,487850,490250,ok so now we are going to add some pepper to the pot
116,283,49,46,d7cc311f66f6483d909ea79c608dbf52,493600,495800,so lift up the pepper
117,284,49,47,a2ffee9e8ca5491cae4a9bf6039171ce,499050,506200,"and then, uh, grab the bottom of it and screw the top, yeah there we go, screw the top to add pepper to"
118,285,49,48,75a0c9525da54bc6a237e66ff2b0f21c,512650,514750,alright so now we're going to stir the soup
119,286,49,49,d0883ad1d2864e5b96b5d054e2a97dc5,517250,518550,so
120,286,49,50,d9f8015ba3ae497d8c19d8d3ce3c9316,519250,522150,"uh take the spoon, that's right here"
121,287,49,51,7e22edc0ba724942abfa201ad4af791c,523700,524650,lift it up
122,288,49,52,ebec7c14fd684591974032d8ef69d145,527400,529100,uh this pot over here
123,289,49,53,548a699661cc45f79a5b1d7758b2fb29,531250,535870,"there we go, and move it around in the bowl"
124,290,49,54,9182f24de6144e869177c986f07bfb55,547550,549850,ok so now we are going to chop some potato
125,291,49,55,ba71e5ffd82442ee93e55bb145b1e6a5,551300,553500,uh we're going to cut the potatoes
126,292,49,56,65e36c4a341544ac94f6de5dab32606d,554900,556650,so grab the potato
127,293,49,57,910c6b88b8a64176b949086ec2570e00,557600,559050,put it on the cutting board
128,294,49,58,88d4e6f7813e4489bca28d822523a784,559950,561100,uh grab the knife
129,294,49,59,dff2ceb6ca304dbd9dba5d9fdfe03241,562350,564950,lift it and chop the potato
130,295,49,60,32008eb961d64978998e19201e79c71a,574900,576950,ok so now we're going to cut the carrot
131,296,49,61,5e2530c6e76b44d08409d2ad07f30ac9,579500,580950,so grab the carrot
132,296,49,62,1df58fc4ee964159975f3db27c955ada,581500,582950,place it on
133,296,49,63,9f9b3688a2bf4aa3ba01b0e659261e65,583900,585200,oh grab the carrot
134,297,49,64,deef82af768e40089657cc3f0aa09e72,589950,591250,grab the carrot
135,298,49,65,37fa69b90dd24e7aa7717337f41f6a4a,592400,594400,and place it on the cutting board
136,299,49,66,2baa87daebbe4813a3919dbe82f7bea1,603250,604900,uh hold the carrot
137,300,49,67,b0b26a6d78d749a28e6803e54d3ed010,607350,611700,"it's it's on the left side of you, it's orange, it's long, uh"
138,301,49,68,62fd461afd4d4f17a89a1df02182a6e7,617500,619700,alright so now we're going to cut the celery
139,302,49,69,051f522bec4e43919e1e4f66b4218307,621500,623250,yeah celery so grab the celery
140,302,49,70,048fff24680c47c6b85968e07070c00b,623450,625600,"place it on the cutting board, grab the knife"
141,302,49,71,3d77f0d1138b4f44a994dcd8f65eaa13,626000,629130,and cut the celery
142,303,49,72,6c1ec481843b4d378310938eb40a1994,637350,640100,ok so now we're going to take the lid off of the pot
143,304,49,73,2e8e8427440a443b949d8680abf8a3f0,641250,642550,so go to the oven
144,304,49,74,f69e7d0143734067858db7a4dd17c8cc,643000,645200,and grab the lid
145,305,49,75,e4cc74d0bf6948199c18d622c21abf1d,646750,649550,and lift the lid off of the pot
146,306,49,76,a1cda49f61024c9881449c65384bc4ed,652000,652950,and put it down
147,307,49,77,3d309b9abc4346878587e953130f61d9,664000,669150,"ok so now we will add the potatoes, celery, and carrots to the water"
148,308,49,78,b972bfe8ecf644d496e661c4c6f70c83,672650,674100,so grab the cutting board
149,308,49,79,5860e36e98fe4d1f88fbd8ab880327a4,675200,676600,go to the oven
150,309,49,80,2d122c51ce20423b9fc20e540592c917,679350,682650,and add these ingredients to the water
151,310,49,81,0a228bfe79c34b7ba0f230f28272a431,695050,698350,ok now we're going to be turning off the burner on the pot
152,311,49,82,2104d519030349c9b0908c3d390f5995,700850,706250,"so go to the left and turn off the burner where the onions and tomatoes are, not the one with the water"
153,311,49,83,3bee0ba800b24ec99d573b1acfb588cc,709050,709750,SPEECH
154,312,49,84,de337d46567842ba88cb8eec9280033f,719150,725050,"alright so now we are going to be adding the onions and tomatoes to the uh, water"
155,313,49,85,8e1cc01487934f55b0d6e7d814c2d27d,727350,728850,so take the pot on the left
156,313,49,86,c4e4530327814612896959b466341423,731200,734400,"lift it up, and put the ingredients into the water"
157,314,49,87,d20ff7f8bf3046dd8edb13cc1134d0f4,745600,748900,"alright, now we'll be adding some spices to the water"
158,315,49,88,9cb0f19a733448c7b8584e0ca8298cbe,751200,753700,uh so take the spice container on your right
159,315,49,89,b334dae436e04a52be0e6eb6c297c91e,755350,756300,lift it up
160,315,49,90,bcee47f989f84aff96e9da6276d4b4cb,756600,758150,and add it to the water
161,316,49,91,cf93efed01ff47af9f1264be2e03cff1,776150,778350,alright now we're going to stir the water
162,317,49,92,4ed7ff7170524d9ab526252829ca66a4,779500,781750,uh stir the pot with all the ingredients in it
163,318,49,93,893d4208445343d98be0a948048702f1,784150,785500,so go to the oven
164,318,49,94,acdede2c88464af49df2015909f14705,786250,787800,grab the spoon
165,318,49,95,541ea42379754571a44ef6c841e9e3e5,788150,791420,lift it up and stir the ingredients
166,319,49,96,ef3d90f97c66408689cf4c36ed985899,805000,808150,alright now we are going to put the lid onto the pot
167,320,49,97,7a86cd5b521445a380b208d8b3105802,810150,814700,"so grab the lid, lift it up, and place it on the pot"
168,321,49,98,0cbf6f64bea948db8d2e144a6f1d0991,832350,836050,"oh ok, so we're going to turn off the burner on the pot"
169,322,49,99,6ad63c72e26d48ff9b54b6366992d1a5,840100,840950,there we go
170,323,49,100,b2b2d5b97c064f17a1da04eb9c6ace4d,848550,851400,alright we are going to take the lid off of the pot
171,324,49,101,fbfd0fd27c8a4f12bfcdc34cfe31c12c,854900,857300,"so grab the lid, lift it up"
172,324,49,102,a95128f562f34a0a83b72f6d10bd4569,858550,859700,and place it down
173,325,49,103,52677caf73f14ab2b1a1f9ae02b6f2c1,869700,872650,ok so we're going to put the soup into a bowl
174,326,49,104,bf35802b95604a53a7e12455755e5e7b,876150,877650,so grab the bowl
175,327,49,105,585d4b306f6e473db0ba5a14460a7846,878750,879700,lift it up
176,328,49,106,585d4b306f6e473db0ba5a14460a7846,878750,879700,lift it up
177,328,49,107,43fc856a510e421ba1677e57f3490e2a,881300,883220,bring it over to soup
178,329,49,108,43fc856a510e421ba1677e57f3490e2a,881300,883220,bring it over to soup
179,329,49,109,7ca39afe24454d83a3d4ef1f8c69b839,883290,885650,"grab the ladle, which is in the back"
180,330,49,110,a67f1f2cae354fbdb211fdb79b11d3e2,886550,888100,it's the big spoon in the back
181,331,49,111,3c6d77862fb04ee48d5ecd0fbae80f91,889800,891900,"lift it up, and"
182,332,49,112,3c6d77862fb04ee48d5ecd0fbae80f91,889800,891900,"lift it up, and"
183,332,49,113,90b61bfca1944f5e84fb75fc07dbc9cc,892690,895500,"get some soup, and place it into the bowl"
184,334,49,114,9c77d7694a8e4456873bf06173ecdd54,917600,921130,alright now we are going to put the dishes into the sink
185,335,49,115,06232db482334af088067d7dc700fcb7,923850,925250,so go to the oven
186,336,49,116,550eebd0eed942d1bcb270b3e286ad53,927400,928950,"ok, so grab the pot"
187,336,49,117,c70f7e222fee454db8213d108bdafaff,929600,930500,lift it up
188,336,49,118,da243ea86ca34c62939c94205d19863a,931500,932950,and put it into the sink
189,337,49,119,ecda620d6dd7409c86dec5f11d924793,946400,949500,"what's the word, uh grab the towel"
190,145,51,0,8b38eaffefd74624ad9c8811837cfad0,171050,173250,"ok, so"
191,145,51,1,1100731f6bbc43d6bbedde14eb6ce1f8,174150,176750,we're going to boil some water
192,145,51,2,8b560a98a34e4ce2aea19b61d6abd13d,177100,178500,pot on the stove
193,146,51,3,21075395897e4d5597a9abc8623140b8,181450,183800,so got to the stove
194,147,51,4,f4fe977afdd64b338f6a84ee9e9f9d61,187350,190200,turn on the fire if it's not already on
195,148,51,5,a38a51c0290c4eecb31d8987904989f2,200900,204300,we're going to cover the pot that's on the stove
196,148,51,6,d42bae479a384ac5a10c05bc6bb5d11d,205250,206650,so grab the lid
197,149,51,7,d42bae479a384ac5a10c05bc6bb5d11d,205250,206650,so grab the lid
198,150,51,8,dfec97681238462a942df54ff53a05f2,211150,212950,"grab the lid, right there"
199,151,51,9,a7315a205c2d4b7d9b7c72f0e2c1486e,215433,218093,"and put it on, yes"
200,152,51,10,6db6ca72e023401db11d5e4792bffe94,226750,229600,we're going to bring an onion to the cutting board
201,153,51,11,3ff44a77c9654d4287b8987127b91279,231550,232850,so grab the onion
202,154,51,12,e13b6dbd505c47d587aed7edc457fb76,237650,239450,the onion is right in front of you
203,154,51,13,64c748c0ceac4e2d9cbfe687e75fabad,241250,243000,right in there
204,154,51,14,970f5ef80b924d37945edab145986c37,243420,244760,yes
205,155,51,15,1638a14df5d44fc6a6f95e9b1a1fd258,254100,257100,we're also going to bring carrots to the cutting board
206,156,51,16,f952322e94584f36b3e3dc494b822f3c,260700,262000,grab the carrot
207,156,51,17,e84bfa4a3ec547fcb846cb8141a40593,262207,263547,right there
208,157,51,18,ec9961c7934447a08799cd4207e90c1e,274150,276700,we're going to chop the onion
209,159,51,19,f8e331f14ce74834b447d4f46b870ffa,292250,294750,now we're going to chop a tomato
210,160,51,20,3cf2891b0084405da5148e9b2aa4adf3,296400,300600,the tomato is red and brown and right there
211,162,51,21,11a117ad25cd4b68ab4aa4da4d80bdb0,324950,329400,"go to the stove, we're going to turn on the heat under the pan"
212,163,51,22,03dadbff9999406a812a6486c407d829,333950,335600,turn on the fire
213,164,51,23,41785635820541c4a36671c420bb25f1,346600,349600,we're going to put some oil in the saucepan
214,165,51,24,aad49a3ae1364f79b699bb70ef11b304,353900,355300,so grab the oil
215,167,51,25,0a37371dd4ff447fa1321c69f256efac,370600,374700,bring the onions and tomatoes to the saucepan
216,168,51,26,e8ff9342338d4919babbc050a2849935,382250,383800,go to the stove
217,169,51,27,345f1e4c3d5b4923a883944090ea2118,386950,389300,"and put them in the saucepan, the pan"
218,170,51,28,b932e641246c4b669f42aba55a266ac3,401850,408580,"we're going to salt the saucepan, the tomatoes and onions in them"
219,171,51,29,7056206f19d241fdb1d3b879fd466f6c,411200,412850,so grab the salt
220,173,51,30,11947b29b3ef4c3fb32543d6de9592aa,428900,431700,now we're going to put pepper in the saucepan
221,174,51,31,40b5a0c0d64542768710ceedfc6daaec,436700,437900,grab the pepper
222,176,51,32,626b9f2499ec43f5b024a92e67b126d2,456350,459450,we're going to stir those ingredients
223,177,51,33,f4be1cab723b4a17b77956b1d865d1c9,461600,463150,in the pan
224,177,51,34,1629206600904bf9ac8d9ecfc6f187d5,463550,465300,"so grab the spoon, grab the spoon"
225,178,51,35,1629206600904bf9ac8d9ecfc6f187d5,463550,465300,"so grab the spoon, grab the spoon"
226,179,51,36,0aceff68e0ab4952b0dece1841b24238,467750,469450,and bring it over to the pan
227,181,51,37,7f939f23b2ee445f81166e36aa919c40,491200,494000,we're going to chop the potato
228,182,51,38,7222aa5facf0483881e0adbada52603f,497450,501900,"the potato, it's right there on the countertop"
229,183,51,39,244daf6c6a2c42d887a67ef2f64d8199,502500,504650,it's like a light brown color
230,184,51,40,339db4e5d3294d73a65a55c4be66c9d1,506850,510100,it's right next to the carrot and apple
231,185,51,41,ecffca4ef7a94e978153cdd69a94391d,511450,513400,we're going to cut a potato
232,186,51,42,ca69b4fd209a4abdac51335038d86503,533250,535800,we're going to cut the carrot
233,187,51,43,ea2a8841000d4fdb9877170644f2fb62,552700,554700,we're going to cut the celery
234,188,51,44,df4eb612f9184c58bac78da217eeab3f,577350,581700,"go to the stove, we're going to take off the lid from the pot"
235,189,51,45,36a8b063539a43c5a407485664d308eb,585150,586500,grab the lid
236,189,51,46,5b99f033ddb041a296665c9cc4e13652,587050,588550,and take it off the pot
237,190,51,47,5ff483788f004d77a7860795be61ea2c,595200,597700,so we're going to take the lid off the pot
238,191,51,48,96592c40c6804f138c84e2c6f8d729d1,615250,620520,"bring the celery, the carrots, and the potatoes to the pot"
239,192,51,49,aa47cfbd91eb4e8c9c48f2c4b18163e2,631350,633500,and put them in the pot
240,193,51,50,f528e3b2bb164a70908d82bf317a2afa,651000,656350,bring the pan to a simmer
241,194,51,51,8adc03b938874158ada033693ecabcd3,663600,671430,we're going to keep cooking the onions and the tomatoes until they're steaming
242,196,51,52,c1dd80e912a14e93bb9f13092793f851,674350,677900,"oh turn off the fire on the, yeah there you go"
243,197,51,53,632fdf5b71f149589db3e344dbdc775b,695700,699550,we're going to put the contents of the pan into the pot
244,198,51,54,65afd70d2c7749c3aa6d851fd9ac9f95,703900,705700,so take the pan
245,199,51,55,341305ef153147bab3029deaad97d6a2,709200,711400,and put the contents in the pot
246,200,51,56,9352254c59a345fcb6a1ab7aab8db7d2,720150,722900,and add spices to the pot
247,201,51,57,4728640279f445ff8d3b09b1c66f849b,726300,729350,"so grab the spice container, right there"
248,203,51,58,da195468f8a54583974630344bfb5821,750500,753480,we're going to mix the pot
249,204,51,59,e118461d472f4ffe9a7440a0346aa1bb,755400,758800,we're going to take a spoon and mix the pot
250,206,51,60,07dbf331ddbb41d7ba0037795f9d71ea,782200,784850,we're going to put the lid back on the pot
251,208,51,61,3ac4fa011543458e993a79b11c926ce3,800350,802000,turn the fire off
252,209,51,62,93a4870c10fa4d9594c99b0108068006,816650,818600,take the lid off the pot
253,210,51,63,b5a13916955742a19b5130a8af8cc891,836900,838900,we're going to serve the soup
254,210,51,64,8c47a5be6c0541fc84bc075aaf55b411,839500,840300,so
255,211,51,65,a533648d68ba446abf9ac8447d408744,841600,842950,grab a bowl
256,212,51,66,64bac3c7c48a4df8ac0e309e05395436,846150,847500,and a spoon
257,213,51,67,b410b73f8c71460e9a8b3f957347045f,850850,852150,and the ladle
258,214,51,68,8daa5a8e4f2a4cc2a3aea7df4e2434a9,857250,859930,and serve the soup into bowl
259,215,51,69,fe94997db3954b64ae7a4511df722c17,882950,884850,we're going to start cleaning up
260,216,51,70,1c24a987a42d4171b3bdec9423a4c207,885750,892840,so take the pot and the pan and the spoons and put them into the sink
261,217,51,71,dbf78cf523f345589f80526e0babee69,917650,920150,also grab the spoons that we used
262,217,51,72,41b405af9e0f4763803dd14f836a2418,921250,923250,so the spoon and the ladle
263,217,51,73,a1638fab9d35453a884083e900c39625,924100,926370,and we're going to put those in the sink as well
264,338,52,0,3e8590f5ebb142c4853a292734c5148f,166100,169100,"ok Baxter, can you turn on the stove"
265,339,52,1,b3ed87c8110844f397c235d90c0d280c,232660,233750,can you turn
266,340,52,2,e1b89c5491ee477cacf7252a6db15ca2,234850,236800,"yeah, ok, can you"
267,340,52,3,f4fafee248eb4c5e8526d3391940c3fe,238430,240100,"turn, turn on the stove"
268,341,52,4,61b78d3817274562beac6d7695f162a1,252850,254400,ok can you turn again to the stove
269,342,52,5,04dada1ad7414d70973a54064ace7298,257200,258400,can you turn this way
270,342,52,6,e6b2cb212984424f95c2d543cf6cec55,258940,260600,towards the stove
271,343,52,7,ff00db8202bf41ef8add534146e7da9d,265950,268850,ok now pick up the lid and put it on the pot
272,344,52,8,cfd02acf6a0b430fb28f52413ec78ae2,282550,287350,"ok Baxster we're going to chop an onion, can you turn behind you"
273,345,52,9,cfd02acf6a0b430fb28f52413ec78ae2,282550,287350,"ok Baxster we're going to chop an onion, can you turn behind you"
274,346,52,10,129ba831701d42659cbafc46f4dcd1b4,292300,294050,ok can you pick up the onion
275,347,52,11,733fd0edb89047d3a6c3c472349e9e5e,303800,305350,ok now pick up the knife
276,349,52,12,dc6f605a89a9490782db60ca74dd2998,308330,310210,oh we're getting a carrot never mind
277,349,52,13,71f29852048a429b8c1b976f4de4a97e,310400,311800,uh can you turn around
278,350,52,14,b158a9b83a5d4bfba7b5f405b09c6a33,316050,317750,ok now pick up the carrot
279,351,52,15,9a02f00493d3420cab60a5d1878753f7,332600,335900,"ok we're going to chop the onion now, can you pick up the knife"
280,352,52,16,7fe4f1074ee94460a05366eb0988f85b,348600,350850,ok we're going to chop the tomato
281,353,52,17,91da5738dd0e43388ba355af8ae994d8,354100,357300,we're going to chop the red vegetable right there
282,354,52,18,2053fd9b829943dca099c2e6feefc99d,362900,364500,ok so pick up the tomato
283,355,52,19,fe2cf9eda7374df4bfe7a8455f45f685,386050,392250,"ok we're going to turn on the stove, and again, so turn towards there you go"
284,356,52,20,1d31fc223d514a2a99682143b8a5eb24,394150,396860,ok now turn on the stove
285,357,52,21,22d6b36a6ec149aea2b7985e92142177,407700,411100,"ok, now we're going to pour, pour oil in the pan"
